,original_name,url,artist_id
a,A,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C
a day to remember,A Day to remember,https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN,4NiJW4q9ichVqL1aUsgGAN
crochet,crochet,https://open.spotify.com/artist/2AVaLiEDN8eHLxEdNXpJQT,2AVaLiEDN8eHLxEdNXpJQT
snails,SNAILS,https://open.spotify.com/artist/2yT7X3Gg2S51DHz67FAYL6,2yT7X3Gg2S51DHz67FAYL6
pendulum,Pendulum,https://open.spotify.com/artist/7MqnCTCAX6SsIYYdJCQj9B,7MqnCTCAX6SsIYYdJCQj9B
rob sigurd,Rob Sigurd,https://open.spotify.com/artist/5jgPXOwnAnNoqfyx0tME7l,5jgPXOwnAnNoqfyx0tME7l
a separate piece,A Separate Piece,https://open.spotify.com/artist/3Rxlvk9NvsPJZGsZV3e67c,3Rxlvk9NvsPJZGsZV3e67c
damage over time,Damage Over Time,https://open.spotify.com/artist/3mlE2Eo2gFTH0WrqIumPbG,3mlE2Eo2gFTH0WrqIumPbG
inception of fall,Inception of Fall,https://open.spotify.com/artist/3OcGXD589qXemvOS3EEKXw,3OcGXD589qXemvOS3EEKXw
grind gang,Grind Gang,https://open.spotify.com/artist/5H05MCDoyX0JRO9hDJXbId,5H05MCDoyX0JRO9hDJXbId
demeted,Demeted,https://open.spotify.com/artist/4iJmMsVaUW6WZu1qUvcv9k,4iJmMsVaUW6WZu1qUvcv9k
greywind,Greywind,https://open.spotify.com/artist/3QFfYJq7jdx8GnVrePpZm4,3QFfYJq7jdx8GnVrePpZm4
coagulating,Coagulating,https://open.spotify.com/artist/3j3Ke0DPx6r3Te1oISEzaF,3j3Ke0DPx6r3Te1oISEzaF
audiosvora,Audiosvora,https://open.spotify.com/artist/4c4iMyDE37aiJDXOXdSSjN,4c4iMyDE37aiJDXOXdSSjN
castiel,Castiel,https://open.spotify.com/artist/7aT5jcNtxAhoZXjOgXBudG,7aT5jcNtxAhoZXjOgXBudG
abated mass of flesh,Abated Mass Of Flesh,https://open.spotify.com/artist/25xya1HMsF8Y6cQrMfAmME,25xya1HMsF8Y6cQrMfAmME
shallow dissent,Shallow Dissent,https://open.spotify.com/artist/6A7uxd2a7b2PhPXx6GD7hR,6A7uxd2a7b2PhPXx6GD7hR
existentialist,Existentialist,https://open.spotify.com/artist/4wLNwOLv2VRH88SncD9yD5,4wLNwOLv2VRH88SncD9yD5
wounded masquerade,Wounded Masquerade,https://open.spotify.com/artist/7Gv9v2IMqDwzQPhx2ZkJHS,7Gv9v2IMqDwzQPhx2ZkJHS
satanic tea co,Satanic Tea Co,https://open.spotify.com/artist/70sEsN5hAp8TT8oBEqaknu,70sEsN5hAp8TT8oBEqaknu
weltenbrand,Weltenbrand,https://open.spotify.com/artist/5JKlu3Rov4jP330qFXO1K2,5JKlu3Rov4jP330qFXO1K2
as december falls,As December Falls,https://open.spotify.com/artist/7Atp614yT56v9XrlqZryzX,7Atp614yT56v9XrlqZryzX
when plagues collide,When Plagues Collide,https://open.spotify.com/artist/04bY1Dfz2i4lQXmaEuPziP,04bY1Dfz2i4lQXmaEuPziP
maiasaura,MAIASAURA,https://open.spotify.com/artist/62mm8csnxeh1rBGa9fBrRX,62mm8csnxeh1rBGa9fBrRX
imha tarikat,Imha Tarikat,https://open.spotify.com/artist/0Cor5wxhCtEuSz85zFb9qY,0Cor5wxhCtEuSz85zFb9qY
peepeepoopooballsectomy,Peepeepoopooballsectomy,https://open.spotify.com/artist/6a3hxIvsLj74GWFSWRDfEf,6a3hxIvsLj74GWFSWRDfEf
wocket launcher,Wocket Launcher,https://open.spotify.com/artist/2Mjd1NkuklsoH66StKZaVo,2Mjd1NkuklsoH66StKZaVo
electron,Electron,https://open.spotify.com/artist/3xYNGCooNIzKMAtJYKSOyq,3xYNGCooNIzKMAtJYKSOyq
dessiderium,Dessiderium,https://open.spotify.com/artist/1pwkOqY72tFaGnjdnRU7gv,1pwkOqY72tFaGnjdnRU7gv
raging sea,Raging Sea,https://open.spotify.com/artist/3EI7GXHgQNi22AQcPpcyjJ,3EI7GXHgQNi22AQcPpcyjJ
carnivxrous,CARNIVXROUS,https://open.spotify.com/artist/2awGW9UcWt2B4YBTaZ0FFp,2awGW9UcWt2B4YBTaZ0FFp
violent answer,Violent Answer,https://open.spotify.com/artist/6SN2lBX5sn8lNdd0rRiLEK,6SN2lBX5sn8lNdd0rRiLEK
embers uk,Embers UK,https://open.spotify.com/artist/31D2V0AjbXUc2AV7mi9CDl,31D2V0AjbXUc2AV7mi9CDl
von sexto,Von Sexto,https://open.spotify.com/artist/4yuJosmMF0fybouOWVJeME,4yuJosmMF0fybouOWVJeME
killing floor 3,Killing Floor 3,https://open.spotify.com/artist/4fzHMaix3x1KZPqy446wdD,4fzHMaix3x1KZPqy446wdD
provenance,Provenance,https://open.spotify.com/artist/4Wtl55fm6rIsJ3db1o7HGg,4Wtl55fm6rIsJ3db1o7HGg
wulkanaz,Wulkanaz,https://open.spotify.com/artist/2c1uH1emx3CCrijqUoPoid,2c1uH1emx3CCrijqUoPoid
celestial scourge,Celestial Scourge,https://open.spotify.com/artist/5Aa9MZcjlFt2UbAlpyqTJn,5Aa9MZcjlFt2UbAlpyqTJn
save your last breath,Save Your Last Breath,https://open.spotify.com/artist/0hBm2QYhidDmnMFoQ7Vchw,0hBm2QYhidDmnMFoQ7Vchw
jonathan young,Jonathan Young,https://open.spotify.com/artist/2IeMt1qx6ZVt1HFjdfE5tl,2IeMt1qx6ZVt1HFjdfE5tl
甘い暴力,甘い暴力,https://open.spotify.com/artist/16Sq7Ciitf4Ii8F6WYD6qw,16Sq7Ciitf4Ii8F6WYD6qw
error,Error,https://open.spotify.com/artist/0H0fZAyMbBJIOPfjK2BxZx,0H0fZAyMbBJIOPfjK2BxZx
brick by brick,Brick By Brick,https://open.spotify.com/artist/1GkLRi7GvBTJVbmrMLiFFA,1GkLRi7GvBTJVbmrMLiFFA
lyrica,Lyrica,https://open.spotify.com/artist/3VrGfWE8YdYMK4ySpnE0ly,3VrGfWE8YdYMK4ySpnE0ly
hypermass,Hypermass,https://open.spotify.com/artist/19h9bDwuAaZO8HAUdWhnIY,19h9bDwuAaZO8HAUdWhnIY
lunity,Lunity,https://open.spotify.com/artist/2OgKPh1xCLvA9C8CXfFABo,2OgKPh1xCLvA9C8CXfFABo
dawn of ouroboros,Dawn of Ouroboros,https://open.spotify.com/artist/10QeC2Z1BJ2nywykFZZ5JX,10QeC2Z1BJ2nywykFZZ5JX
sid white,Sid White,https://open.spotify.com/artist/3edyeCg5jIBvWBZm0Y5syB,3edyeCg5jIBvWBZm0Y5syB
alphasix,AlphaSix,https://open.spotify.com/artist/2o5Ka0pGAjCqwrjWXkCXhl,2o5Ka0pGAjCqwrjWXkCXhl
restricted us,Restricted US,https://open.spotify.com/artist/2l2og3NR71roKrKxdRoODx,2l2og3NR71roKrKxdRoODx
black spikes,Black Spikes,https://open.spotify.com/artist/5OHs983geoRmnuuRVfB2XQ,5OHs983geoRmnuuRVfB2XQ
just dust,Just Dust,https://open.spotify.com/artist/0oV9ljsbczX4uZts45Gvmt,0oV9ljsbczX4uZts45Gvmt
oinkliteration,Oinkliteration,https://open.spotify.com/artist/6v1GGy8FLTyKI1KlKN1lMD,6v1GGy8FLTyKI1KlKN1lMD
