Chartmetric ID,Artist,Country,Region,Continent,Pronouns,Solo/Group,Associated Labels,Label Category,Genres,Moods,Activities,Chartmetric Score,Chartmetric Rank,Career Stage,Recent Momentum,TikTok Followers,TikTok Likes,TikTok Engagement Rate,TikTok Posts,TikTok Views,Pandora Monthly Listeners,Pandora Streams,Pandora Artist Stations,Shazams,Line Music Artist Likes,Line Music Likes,Line Music Video Views,Line Music Streams,Melon Fans,Melon Video Likes,Melon Video Views,Spotify Followers,Spotify Monthly Listeners,Spotify Conversion Rate,Spotify Reach / Followers Ratio,Spotify Popularity,Spotify Playlist Reach,Spotify Playlist Count,YouTube Channel Subscribers,YouTube Channel Views,YouTube Daily Video Views,YouTube Monthly Audience,YouTube Engagement Rate,YouTube Playlist Count,Deezer Fans,Deezer Playlist Count,Deezer Playlist Reach,SoundCloud Followers,SoundCloud Streams,Apple Music Playlist Count,Amazon Music Playlist Count,Instagram Followers,Instagram Engagement Rate,Radio Spins,SiriusXM Spins,Facebook Followers,Facebook Talks,Snapchat Followers,X Followers,X Post Count,Wikipedia Views,Bandsintown Followers,Songkick Fans,Boomplay Streams,Boomplay Favorites,Genius Views,Twitch Followers,Audience Age,Audience Gender,Spotify Links
3501,Bruno Mars,United States,North America,North America,He/Him,Solo Artist,WMG (Atlantic),Major Labels,"Pop,Dance Pop,Funk","Fun,Affectionate,Upbeat,Celebratory,Romantic,Energetic,Heartbroken,Catchy","Dancy,Partying,Self-love,Bonding,Urban,Drinking,Daydreaming,Reassured",99.08195348,3,Superstar,Growth,16000000,79600000,23.7524,52429895,84240977000,5329350,10908690891,52529521,315358226,545400,1262690,64415,179689496,97425,9361,2181165,80675413,135706185,0.594486,12.29x,94,991365922,2643861,43300000,25113856444,18016548,654000000,0.4744,1082,12511425,1720,68339312,807239,76404561,2918,1105,42923278,4.1625,7816667,74574,57000000,229042,,36693741,5081,9104,8732504,6042159,,,46208700,,13-17: 5.8%%; 18-24: 35.5%%; 25-34: 43.2%%; 35-44: 12.1%%; 45-64: 3.4%%; 65-: 0%%,F: 64.6%; M: 35.4%,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
1404155,Lola Young,United Kingdom,Western Europe,Europe,,Group,UMG (Island Records),Major Labels,"Alternative,Pop,R&B/Soul","Emotional,Heartbroken,Vulnerable,Raw,Melancholic,Introspective,Sad,Intimate","Self-love,Dancy,Urban,Daydreaming,Late-night,Bonding,Reassured,Acoustic",93.01428293,723,Superstar,Cooling,2700000,49200000,4.1529,2847808,9422470690,501970,38747820,97994,16879632,63,72,,30733,1074,4,379,1704452,24263048,0.070249,120.68x,75,205697701,351320,642000,413374536,554920,15600000,1.0051,199,85819,214,22755391,28486,7579943,322,307,1950241,12.7166,693166,8338,129000,2778,,,,58,147678,378491,,,474384,,13-17: 6.5%%; 18-24: 41.2%%; 25-34: 39.9%%; 35-44: 9.3%%; 45-64: 3.2%%; 65-: 0%%,F: 73.6%; M: 26.4%,https://open.spotify.com/artist/67FB4n52MgexGQIG8s0yUH
106214,Dread Mar I,Argentina,South America,South America,He/Him,Solo Artist,SME,Major Labels,"Latin Folk,Reggae Argentino,Dub Reggae","Heartbroken,Melancholic,Romantic,Chill,Relaxed,Uplifting,Emotional,Affectionate","Vacation,Summer,Reassured,Revolution,Beach,Bonding,Daydreaming,Self-love",90.85545949,1497,Superstar,Steady,125800,509300,1.5064,1298553,3157645433,180292,72217437,336853,8578204,,,,,,,,3092557,9827666,0.314679,7.12x,71,22020581,130451,6180000,5588906735,2408113,16600000,0.0894,17,711586,38,341806,51256,17821482,65,25,1796528,0.6673,40019,420,5800000,26135,,216621,4174,272,,145783,,,29539,,13-17: 3.1%%; 18-24: 33.5%%; 25-34: 48.5%%; 35-44: 12.8%%; 45-64: 2%%; 65-: 0%%,F: 55.6%; M: 44.4%,https://open.spotify.com/artist/1aw0Cdl1DIrtUrUA6fGbAR
10754388,Lyrical Lemonade,United States,North America,North America,,Group,UMG (Def Jam),Major Labels,"Hip-Hop/Rap,Trap,US Hip-Hop/Rap","Aggressive,Energetic,Confident,Hype,Intense,Angry,Chaotic,Contemplative","Urban,Revolution,Self-love,Daydreaming,Focus,Driving",88.6067663,2712,Mainstream,Slowing,1900000,31400000,1.2183,29480,95208139,91,1030464,1658,1121678,,,,,,,,248653,1997749,0.124467,60.07x,56,14935975,131819,24000000,13025201682,,,0.3674,23,2718,26,469721,,,32,37,4958190,0.8952,8372,413,76000,69,,,,13162,,,,,189830,,13-17: 7.6%%; 18-24: 48.7%%; 25-34: 36.4%%; 35-44: 5.9%%; 45-64: 1.5%%; 65-: 0%%,F: 20.8%; M: 79.2%,https://open.spotify.com/artist/3VrGfWE8YdYMK4ySpnE0ly
2281,A Day To Remember,United States,North America,North America,,Group,Victory Records,,"Pop Punk,Melodic Hardcore,Emo","Angry,Energetic,Heartbroken,Aggressive,Anthemic,Emotional,Cathartic,Melancholic","Revolution,Driving,Reassured,Daydreaming,Partying,Roadtrip,Self-love,Vacation",88.31473493,2904,Mainstream,Steady,349100,3000000,9.3466,113469,249258745,503070,1410295629,5052567,4932044,,,,,,,,2579149,5453935,0.472897,21.64x,70,55803141,235444,1070000,778942885,344188,2290000,0.0343,30,483733,63,377864,14395,2639668,161,160,1128427,1.7765,85499,6551,4099999,2921,23486,745673,3848,689,2918369,810418,,,1901447,,13-17: 3.6%%; 18-24: 38.7%%; 25-34: 46.9%%; 35-44: 9.1%%; 45-64: 1.7%%; 65-: 0%%,F: 47.7%; M: 52.3%,https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN
89,The Chemical Brothers,United Kingdom,Western Europe,Europe,,Group,UMG (Virgin Records),Major Labels,"Electronic,Dance,House","Energetic,Exciting,Entertaining,Adrenaline,Upbeat,Intense,Fun,Anthemic","Dancy,Partying,Driving,Workout,Late-night,Urban,Revolution,Daydreaming",88.23627639,2957,Superstar,Steady,35200,128600,6.5994,223511,706163489,58451,108117279,707369,21655103,8820,11488,1434,2809739,,,,2305955,4028675,0.572385,30x,62,69180452,298485,980000,831452237,265031,3790000,0.695,46,6405,266,1034438,67260,3666057,589,211,568760,4.1767,151847,1531,2100000,130,,253058,6113,1002,785609,,,,314286,,13-17: 1.7%%; 18-24: 14.4%%; 25-34: 42.8%%; 35-44: 30.4%%; 45-64: 10.8%%,F: 29.9%; M: 70.1%,"https://open.spotify.com/artist/3yEl3yHThdAfvQ58hCCSen, https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo"
9428605,ZOMBIES – Cast,United States,North America,North America,,Group,Disney Music Group,,"Pop,Soundtrack,US Pop","Empowering,Energetic,Upbeat,Celebratory,Anthemic,Fun,Cheerful,Uplifting","Dancy,Bonding,Partying,Revolution,Self-love,Vacation,Daydreaming,Summer",87.47117828,3506,Mainstream,Steady,1100000,38500000,17.4134,1957429,2192776092,,1811212,6669,2314977,,,,,,,,330700,3404884,0.097125,39.12x,68,12938438,39931,38600,54131816,,,0.0544,20,29349,7,2874,2567,1268920,53,18,,,155,2554,7000000,1588205,,,,,13517,,,,1309050,,13-17: 10.4%%; 18-24: 49.4%%; 25-34: 29.8%%; 35-44: 7.9%%; 45-64: 2.4%%; 65-: 0.1%%,F: 76.4%; M: 23.6%,https://open.spotify.com/artist/2L7RaHwfVU6ge64IJF8GO5
537975,Shiva,Italy,Southern Europe,Europe,He,,Milano Ovest,,"Italian Hip-Hop,European Hip-Hop/Rap,Italian Trap","Energetic,Confident,Aggressive,Hype,Melancholic,Heartbroken,Intense,Determined","Urban,Partying,Late-night,Dancy,Driving,Bonding,Cruising,Revolution",87.05341228,3831,Mainstream,Slowing,1200000,13100000,28.2683,1376442,1741784539,34,64424,6310,6562483,,,,,,,,3108960,3770173,0.82462,6.56x,74,20403529,123925,1330000,923378881,,3460000,3.5449,7,1,19,3191275,,,89,164,2321905,14.809,29411,,13000,0,,1402,184,61,,44828,,,4445183,,13-17: 7.4%%; 18-24: 51.6%%; 25-34: 35.4%%; 35-44: 4.4%%; 45-64: 1.1%%; 65-: 0%%,F: 32.4%; M: 67.6%,https://open.spotify.com/artist/2K5nCggbhSZ00YCYP5qkZS
206686,Pendulum,Australia,Oceania,Oceania,,Group,UMG (Virgin Records),Major Labels,"Electronic,Dance,Drum & Bass","Energetic,Dynamic,Intense,Adrenaline,Aggressive,Exciting,Heavy,Hype","Dancy,Driving,Workout,Late-night,Partying,Melodic,Urban,Revolution",83.7402355,7102,Superstar,Steady,84100,1000000,0.9382,464240,2842712788,33012,263804095,795332,5973583,1454,204,,37723,,,,1048338,3291598,0.318489,40.4x,63,42355197,209214,736,233696,196044,,,26,368268,54,975936,109394,6401036,125,83,205697,1.8744,26174,791,1700000,395,,104227,1823,373,667939,516213,,,281212,,13-17: 2.6%%; 18-24: 31.6%%; 25-34: 46.6%%; 35-44: 16%%; 45-64: 3.3%%,F: 25.6%; M: 74.4%,https://open.spotify.com/artist/7MqnCTCAX6SsIYYdJCQj9B
707,Buena Vista Social Club,Cuba,Caribbean,North America,He/Him,Solo Artist,BMG (World Circuit),Large Indies,"Latin Jazz,Instrumental,Percussions","Nostalgic,Celebratory,Melancholic,Romantic,Affectionate,Heartwarming,Calm,Soulful","Dancy,Vacation,Daydreaming,Rural,Bonding,Summer,Partying,Relaxation",83.66840084,7187,Mainstream,Steady,66400,540000,0.9864,48983,247178722,106058,258208227,1201680,4817149,243,143,,15621,1636,,,1488424,3891453,0.382485,11.97x,64,17818958,190283,154000,94629473,,,0.1409,10,615831,63,2642980,,,105,14,330660,1.4207,24814,5399,1100000,22446,,7338,683,1034,284156,498563,,,344759,,13-17: 1.6%%; 18-24: 14.9%%; 25-34: 39.6%%; 35-44: 27.9%%; 45-64: 15.8%%; 65-: 0.1%%,F: 42.5%; M: 57.5%,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
